Item Name,Category,Distributor,Item Number,Product SKU,Description,Size,Proof %,Last Purchase Cost,Price Includes Tax,Cost Price,Retail Price,Promo Price,Reorder Level,Reorder Amount,Allow Alternate Description,Item has Serial Number,Image Id,Override Default Tax,Is Service,Commission Percent,Commission Fixed,Is Scalable,Weight,Price Per Pound,Deleted,Retail Markup,Quickbooks Id,Permanent Delete,Single Bottle Cost,Case Cost,Remove Discount,By Location,Quantity on Hand,Quantity Case,Price A,Price B,Price C
8723600116,CORDIALS,STANDARD,3024482270123,2090009,8723600116,750ML,,33.1,,33.1,44.99,,2,2,,,,,,,,,,,,,,,33.1,403.48,,H,0,12,,,
9674931210KRIS PINOT GRIGIO,WINE,STANDARD,9870943620,25943,9674931210KRIS PINOT,750ML,,8.54,,8.54,11.99,,2,2,,,,,,,,,,,,,,,8.54,102.5,,F,14,12,,,
A TO Z 2009 PINOT NOIR,WINE,HANDCRAFTED WINES,9293100034,5565,A TO Z 2009 PINOT NO,750ML,,14.23,,14.23,18.99,,1,1,,,,,,,,,,,,,,,14.23,153.6,,C,4,12,,,
A TO Z 2010 PINOT GRIS,WINE,HANDCRAFTED WINES,9293100014,5853,A TO Z 2010 PINOT GR,750ML,,9.96,,9.96,13.99,,1,1,,,,,,,,,,,,,,,9.96,128.04,,C,4,12,,,
A TO Z CHARDONNAY,WINE,HANDCRAFTED WINES,9293100065,10001121,A TO Z CHARDONNAY,750ML,,9.25,,9.25,12.99,,1,1,,,,,,,,,,,,,,,9.25,111,,H,0,12,,,
A. GAMBAL BOURGOGNE PINOT NOIR,WINE,WORLD WIDE,333,11912431,A. GAMBAL BOURGOGNE,750ML,,22.05,,22.05,29.99,,2,2,,,,,,,,,,,,,,,22.05,0,,F,0,12,,,
ABITA JOCKAMO IPA,BEER,CRAWFORD,8002011806,42815,ABITA JOCKAMO IPA,12OZ,,5.6,,5.6,7.99,,1,1,,,,,,,,,,,,,,,5.6,24,,7,0,4,,,
ABITA PARTY PACK,BEER,CRAWFORD,8002031800,42928,ABITA PARTY PACK,11.2Z,,11.2,,11.2,13.99,,0,0,,,,,,,,,,,,,,,11.2,22.4,,,1,2,,,
ABITA PURPLE HAZE,BEER,CRAWFORD,8002242230,42823,ABITA PURPLE HAZE,12OZ,,5.6,,5.6,7.99,,1,1,,,,,,,,,,,,,,,5.6,25.6,,7,2,4,,,
ABITA PURPLE HAZE,BEER,CRAWFORD,8002042230,42823A,ABITA PURPLE HAZE,12OZ,,5.6,,5.6,7.99,,1,1,,,,,,,,,,,,,,,5.6,25.6,,,2,4,,,
ABITA SPRING IPA,BEER,CRAWFORD,8002035333,42925,ABITA SPRING IPA,12OZ,,6.4,,6.4,7.99,,1,1,,,,,,,,,,,,,,,6.4,22.4,,7,0,4,,,
ABITA STRAWBERRY,BEER,CRAWFORD,8002011706,42885,ABITA STRAWBERRY,12OZ,,5.6,,5.6,7.99,,1,1,,,,,,,,,,,,,,,5.6,25.6,,7,0,4,,,
ABITA TURBODOG,BEER,CRAWFORD,8002035332,42841,ABITA TURBODOG,12OZ,,5.6,,5.6,7.99,,1,1,,,,,,,,,,,,,,,5.6,24,,7,0,4,,,
ABITA WROUGHT IRON IPA,BEER,CRAWFORD,8002011707,42966,ABITA WROUGHT IRON I,12OZ,,6,,6,7.99,,1,1,,,,,,,,,,,,,,,6,25.6,,7,0,4,,,
ABITA XMAS ALE,BEER,CRAWFORD,GGHKJK;LK;L,42862,ABITA XMAS ALE,12OZ,,5.6,,5.6,6.99,,1,1,,,,,,,,,,,,,,,5.6,25.6,,7,0,4,,,
ABSOLUT CITRON VODKA,,GLAZER'S WHOLESALE DRUG CO INC,3522900110,80037,ABSOLUT CITRON VODKA,200ML,,5.14,,5.14,6.69,,1,1,,,,,,,,,,,,,,,5.14,113.76,,H,0,24,,,
ABSOLUT CITRON VODKA,,GLAZER'S WHOLESALE DRUG CO INC,3522900120,1806,ABSOLUT CITRON VODKA,375ML,,8.57,,8.57,12.49,,2,1,,,,,,,,,,,,,,,8.57,216.48,,A,0,24,,,
ABSOLUT CITRON VODKA,,GLAZER'S WHOLESALE DRUG CO INC,3522900130,10952,ABSOLUT CITRON VODKA,750ML,,16.28,,16.28,19.99,,2,1,,,,,,,,,,,,,,,16.28,177.34,,A,3,12,,,
ABSOLUT CITRON VODKA,CORDIALS,GLAZER'S WHOLESALE DRUG CO INC,3522900091,10952A,ABSOLUT CITRON VODKA,750ML,,16.28,,16.28,24.49,,2,1,,,,,,,,,,,,,,,16.28,177.34,,,3,12,,,
ABSOLUT KURANT VODKA,,GLAZER'S WHOLESALE DRUG CO INC,3522900330,1111,ABSOLUT KURANT VODKA,750ML,,0,,19.06,24.49,,2,1,,,,,,,,,,,,,,,19.06,214.32,,B,0,12,,,
ABSOLUT LIME,LIQUOR,GLAZER'S,3522901038,482450,ABSOLUT LIME,375ML,,8.57,,8.57,12.49,,0,0,,,,,,,,,,,,,,,8.57,186.48,,,0,24,,,
ABSOLUT LIME,LIQUOR,GLAZER'S,3522901027,414579,ABSOLUT LIME,750ML,,16.53,,16.53,19.99,,0,0,,,,,,,,,,,,,,,16.53,177.36,,,3,12,,,
ABSOLUT MANDRIN VODKA,,GLAZER'S WHOLESALE DRUG CO INC,3522900220,47877,ABSOLUT MANDRIN VODK,375ML,,8.57,,8.57,12.49,,2,1,,,,,,,,,,,,,,,8.57,216.48,,A,3,24,,,
ABSOLUT MANDRIN VODKA,,GLAZER'S WHOLESALE DRUG CO INC,3522900230,423741,ABSOLUT MANDRIN VODK,750ML,,16.53,,16.53,19.99,,2,1,,,,,,,,,,,,,,,16.53,214.32,,A,2,12,,,
ABSOLUT PEPPAR VODKA,,STANDARD LIQUOR CORP,3522900430,2346009,ABSOLUT PEPPAR VODKA,750ML,,0,,17.87,24.49,,2,1,,,,,,,,,,,,,,,17.87,200,,A,0,12,,,
ABSOLUT RUBY RED,,GLAZER'S WHOLESALE DRUG CO INC,3522900123,134262,ABSOLUT RUBY RED,750ML,,15.98,,15.98,24.49,,2,1,,,,,,,,,,,,,,,15.98,214.32,,A,0,12,,,
ABSOLUT VODKA 80,,GLAZER'S WHOLESALE DRUG CO INC,3522900040,423735,ABSOLUT VODKA 80,1.0L,,24.81,,24.81,31.49,,2,1,,,,,,,,,,,,,,,24.81,279.72,,A,0,12,,,
ABSOLUT VODKA 80,,GLAZER'S WHOLESALE DRUG CO INC,3522900060,423734,ABSOLUT VODKA 80,1.75L,,31.62,,31.62,32.99,,2,1,,,,,,,,,,,,,,,31.62,154.04,,A,1,6,,,
ABSOLUT VODKA 80,,GLAZER WHOLESALE DRUG CO.,3522900010,80171,ABSOLUT VODKA 80,200ML,,113.76,,5.16,6.69,,0,0,,,,,,,,,,,,,,,5.16,113.76,,,0,24,,,
ABSOLUT VODKA 80,,GLAZER'S WHOLESALE DRUG CO INC,3522900020,13223,ABSOLUT VODKA 80,375ML,,10.02,,10.02,12.49,,2,1,,,,,,,,,,,,,,,10.02,186.59,,A,0,24,,,
ABSOLUT VODKA 80,,GLAZER'S WHOLESALE DRUG CO INC,3522900000,10462,ABSOLUT VODKA 80,50ML,,17.28,,17.28,1.85,,2,1,,,,,,,,,,,,,,,17.28,157.82,,H,0,120,,,
ABSOLUT VODKA 80,,GLAZER'S WHOLESALE DRUG CO INC,3522900030,423736,ABSOLUT VODKA 80,750ML,,19.36,,19.36,19.99,,2,1,,,,,,,,,,,,,,,19.36,177.34,,A,9,12,,,
ABSOLUT VODKA 80,CORDIALS,GLAZER'S WHOLESALE DRUG CO INC,3522900096,423736A,ABSOLUT VODKA 80,750ML,,19.36,,19.36,24.49,,2,1,,,,,,,,,,,,,,,19.36,177.34,,,9,12,,,
ABSOLUT VODKA GRAPEFRUIT,LIQUOR,GLAZER'S,3522901043,905407,ABSOLUT VODKA GRAPEF,750ML,,14.78,,14.78,19.99,,0,0,,,,,,,,,,,,,,,14.78,177.34,,,6,12,,,
ABSOLUT VODKA PEARS,LIQUOR,GLAZER'S,3522900133,150724,ABSOLUT VODKA PEARS,750ML,,14.78,,14.78,19.99,,1,1,,,,,,,,,,,,,,,14.78,214.32,,H,0,12,,,
ABSOLUT VODKA PEPPAR,,GLAZER WHOLESALE DRUG CO.,8278515,423738,ABSOLUT VODKA PEPPAR,750ML,,214.32,,16.28,19.99,,0,0,,,,,,,,,,,,,,,16.28,214.32,,,0,12,,,
ABSOLUT VODKA RASPBERRI,,GLAZER WHOLESALE DRUG CO.,3522900830,423254,ABSOLUT VODKA RASPBE,750ML,,195.96,,19.06,24.49,,0,0,,,,,,,,,,,,,,,19.06,214.32,,,0,12,,,
ACE APPLE CIDER,BEER,CRAWFORD,9844900111,1409,ACE APPLE CIDER,12OZ,,7.74,,7.74,9.99,,0,0,,,,,,,,,,,,,,,7.74,30.95,,4,0,4,,,
ACE JOKER,BEER,CRAWFORD,9844900511,1417,ACE JOKER,12OZ,,7.74,,7.74,9.99,,0,0,,,,,,,,,,,,,,,7.74,30.95,,4,0,4,,,
ACE PERRY CIDER,BEER,CRAWFORD,9844900211,1400,ACE PERRY CIDER,12OZ,,7.74,,7.74,9.99,,0,0,,,,,,,,,,,,,,,7.74,30.95,,4,0,4,,,
ACRE NAPA ZINFANDEL,WINE,WORLD WIDE,6325300002,15800132,ACRE NAPA ZINFANDEL,750ML,,18.79,,18.79,27.99,,1,1,,,,,,,,,,,,,,,18.79,220,,C,0,12,,,
ACROBAT P GRIS,WINE,GLAZER'S,6867508582,464863,ACROBAT P GRIS,750ML,,0,,0,12.99,,0,0,,,,,,,,,,,,,,,0,111.12,,,7,12,,,
