Item Name,Category,Distributor,Item Number,Product SKU,Description,Size,Proof %,Last Purchase Cost,Price Includes Tax,Cost Price,Retail Price,Promo Price,Reorder Level,Reorder Amount,Allow Alternate Description,Item has Serial Number,Image Id,Override Default Tax,Is Service,Commission Percent,Commission Fixed,Is Scalable,Weight,Price Per Pound,Deleted,Retail Markup,Quickbooks Id,Permanent Delete,Single Bottle Cost,Case Cost,Remove Discount,By Location,Quantity on Hand,Quantity Case,Price A,Price B,Price C
ARDMORE HIGHLAND SINGLE MALT SCOTCH,SPIRITS,GLAZER,8068674902,377213,,750M,,,,23.34,29.99,,,,,,,,,,,,,,,,,,,,,E03012,1,,,,
ARNOLD PALMER TEA LEMONADE 6 PACK CANS,BEER,LDSFD,1300874833,19051,,12 OZ,,,,6.4,8.29,,,,,,,,,,,,,,,,,,,,,D02438,0,,,,
ARNOLD PALMER TEA LEMONADE CAN,BEER,LDSFD,1300874829,19050,,24 OZ,,,,2,2.59,,,,,,,,,,,,,,,,,,,,,D02441,0,,,,
ARROW PEPPERMINT 100,CORDIALS,GLAZER,8835211905,121988,,375M,,,,4.25,6.89,,,,,,,,,,,,,,,,,,,,,B01014,0,,,,
ARTYS WHISKEY OLD FASHION SOUR,SPIRITS,CITYBEV,5201700412,54002,,7 OZ,,,,6.42,4.99,,,,,,,,,,,,,,,,,,,,,C02063,0,,,,
AUCHENTOSHAN AMERICAN OAK,SPIRITS,GLAZER,5914100409,348726,,750M,,,,28.37,38.69,,,,,,,,,,,,,,,,,,,,,E03009,1,,,,
AUST E CIDER PINEAPPLE 6 PACK CANS,BEER,STANDARD,5860400526,20831062,,12 OZ,,,,7.2,9.31,,,,,,,,,,,,,,,,,,,,,C01655,0,,,,
AUST E CIDER SPICED 6 PACK CANS,BEER,STANDARD,5860400548,22180062,,12 OZ,,,,7.2,9.31,,,,,,,,,,,,,,,,,,,,,C01654,0,,,,
AVALON CAB SAUV,WINE,WORLDWID,5171800001,18000232,,750M,,,,6.4,8.99,,,,,,,,,,,,,,,,,,,,,B05101,0,,,,
AVERY LILIKOI KEPOLO 6 PACK CANS,BEER,WORLDWID,9636300468,40214533,,12 OZ,,,,8.8,10.99,,,,,,,,,,,,,,,,,,,,,G02026,1,,,,
AYINGER BRAU WEISSE 4 PACK BTL,BEER,STANDARD,8572542210,16131068,,11.2 OZ,,,,8,10.32,,,,,,,,,,,,,,,,,,,,,F02589,0,,,,
B&B LIQUER,SPIRITS,STANDARD,8048054540,3870009,,750M,,,,28.02,38.29,,,,,,,,,,,,,,,,,,,,,F01089,1,,,,
BACARDI AMBER,SPIRITS,STANDARD,8048002520,1618004,,1.75L,,,,21.01,23.99,,,,,,,,,,,,,,,,,,,,,F03281,4,,,,
BACARDI AMBER RUM,SPIRITS,STANDARD,8048002540,1618009,,750M,,,,10.89,11.99,,,,,,,,,,,,,,,,,,,,,F03266,8,,,,
BACARDI BAHAMA MAMA,SPIRITS,STANDARD,8048080605,1016009,,750M,,,,7,11.29,,,,,,,,,,,,,,,,,,,,,C01001,1,,,,
BACARDI BAHAMA MAMA,CORDIALS,STANDARD,8048080604,1016004,,1.75L,,,,14,18.49,,,,,,,,,,,,,,,,,,,,,H01123,0,,,,
BACARDI COCO COCONUT RUM,SPIRITS,STANDARD,8048040064,2516013,,375M,,,,6.22,7.99,,,,,,,,,,,,,,,,,,,,,A02066,0,,,,
BACARDI DARK,SPIRITS,STANDARD,8048002570,1618015,,200M,,,,3.89,5.79,,,,,,,,,,,,,,,,,,,,,A02141,0,,,,
BACARDI DARK,SPIRITS,STANDARD,8048002560,1618013,,375M,,,,6.22,9.29,,,,,,,,,,,,,,,,,,,,,A02146,2,,,,
BACARDI DRAGON BERRY RUM,SPIRITS,STANDARD,8048000030,11480021,,50M,,,,0.98,1.29,,,,,,,,,,,,,,,,,,,,,A02087,0,,,,
BACARDI DRAGON BERRY RUM,SPIRITS,STANDARD,8048000029,11480015,,200M,,,,3.89,5.79,,,,,,,,,,,,,,,,,,,,,A02142,0,,,,
BACARDI GOLD RUM,SPIRITS,STANDARD,8048002546,12447009,,750M,,,,10.89,13.99,,,,,,,,,,,,,,,,,,,,,D04899,0,,,,
BACARDI HURRICANE,SPIRITS,STANDARD,8048080601,1017009,,750M,,,,7,11.29,,,,,,,,,,,,,,,,,,,,,C01011,0,,,,
BACARDI HURRICANE,CORDIALS,STANDARD,8048080600,1017004,,1.75L,,,,14,18.49,,,,,,,,,,,,,,,,,,,,,H01100,0,,,,
BACARDI LI ICE TEA,SPIRITS,STANDARD,8048080603,1018009,,750M,,,,7,11.29,,,,,,,,,,,,,,,,,,,,,C01021,0,,,,
BACARDI LIGHT RUM,SPIRITS,STANDARD,8048001570,1624015,,200M,,,,3.89,5.79,,,,,,,,,,,,,,,,,,,,,A02151,14,,,,
BACARDI LIGHT RUM,SPIRITS,STANDARD,8048001560,1624013,,375M,,,,6.22,9.29,,,,,,,,,,,,,,,,,,,,,A02156,1,,,,
BACARDI LIGHT RUM,SPIRITS,STANDARD,8048001540,1624009,,750M,,,,10.89,13.99,,,,,,,,,,,,,,,,,,,,,F02266,0,,,,
BACARDI LIGHT RUM,SPIRITS,STANDARD,8048001520,1624004,,1.75L,,,,18.68,23.99,,,,,,,,,,,,,,,,,,,,,F02281,7,,,,
BACARDI LIGHT TRVLR,SPIRITS,STANDARD,8048001545,1658009,,750M,,,,10.89,11.99,,,,,,,,,,,,,,,,,,,,,F02261,7,,,,
BACARDI LIMON CITRUS,SPIRITS,STANDARD,8048035560,1605013,,375M,,,,6.22,9.29,,,,,,,,,,,,,,,,,,,,,A02095,0,,,,
BACARDI LIMON CITRUS RUM,SPIRITS,STANDARD,8048035540,1605009,,750M,,,,10.89,13.99,,,,,,,,,,,,,,,,,,,,,F02244,2,,,,
BACARDI O ORANGE RUM,SPIRITS,STANDARD,8048040002,1673009,,750M,,,,10.89,13.99,,,,,,,,,,,,,,,,,,,,,F02245,0,,,,
BACARDI OAKHEART RUM,SPIRITS,STANDARD,8048000152,13404009,,750M,,,,10.89,13.99,,,,,,,,,,,,,,,,,,,,,D04477,0,,,,
BACARDI OAKHEART RUM,SPIRITS,STANDARD,8048000153,13404013,,375M,,,,6.22,9.29,,,,,,,,,,,,,,,,,,,,,A02189,0,,,,
BACARDI PINEAPPLE RUM,SPIRITS,STANDARD,8048000386,14570021,,50M,,,,0.98,1.29,,,,,,,,,,,,,,,,,,,,,A02140,0,,,,
